Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1.129929780960083,1.0192484855651855,0.4891709089279175,0.5978121161460876
1.0489734411239624,0.9867271184921265,0.5807697772979736,0.5881595611572266
1.0095090866088867,0.9227727651596069,0.6138777732849121,0.6602316498756409
0.9496252536773682,0.8535258173942566,0.6467099189758301,0.7001286745071411
0.8906349539756775,1.2706172466278076,0.6829907298088074,0.5637065768241882
0.8544340133666992,1.0117043256759644,0.7038212418556213,0.6685971617698669
0.8243792653083801,0.790716826915741,0.7242377996444702,0.7290862202644348
0.8051682114601135,0.9340589642524719,0.733618438243866,0.6776061654090881
0.7928042411804199,0.7492594122886658,0.7334804534912109,0.7471042275428772
0.7666351199150085,0.7865274548530579,0.7425851821899414,0.7406692504882812
0.7569795250892639,0.7264715433120728,0.7464478015899658,0.7548262476921082
0.7409566044807434,0.747821033000946,0.7548627257347107,0.7561132311820984
0.7307161092758179,0.7328470945358276,0.7585874199867249,0.7644787430763245
0.7221400737762451,0.8049729466438293,0.7607945799827576,0.7451737523078918
0.7150229811668396,0.7272806167602539,0.7683818340301514,0.7651222944259644
0.713891863822937,0.7135211825370789,0.7635536193847656,0.7683397531509399
0.7026571035385132,0.7851374745368958,0.7678300738334656,0.7528957724571228
0.6877869367599487,0.7241365909576416,0.7769347429275513,0.7631917595863342
0.6935756802558899,0.9572807550430298,0.7765209078788757,0.6988416910171509
0.6971181631088257,0.6593658328056335,0.7754173278808594,0.7902187705039978
0.6801347732543945,0.6948719620704651,0.7785901427268982,0.7760617733001709
0.6673803925514221,0.8673706650733948,0.7834184169769287,0.7284427285194397
0.6701514720916748,0.7336915731430054,0.7816250324249268,0.769626796245575
0.6600611805915833,0.7068601846694946,0.7845219969749451,0.7676962614059448
0.643494188785553,0.7740607261657715,0.7927989959716797,0.7464607357978821
0.6474791169166565,0.7283999919891357,0.7897641062736511,0.7734877467155457
0.6527671813964844,0.6927475929260254,0.7890743613243103,0.7799227833747864
0.6452618837356567,0.7102643251419067,0.7915574312210083,0.7644787430763245
0.6364619135856628,0.665074348449707,0.7918333411216736,0.7889317870140076
0.6357452273368835,0.6831331849098206,0.7882466316223145,0.7870013117790222
